,Attr,Station,Time,Day,Min_mile,Max_mile,Min_day,Max_day,Unit,Track
0,dpt,0,380,0,0,7000,0,2,D,1
1,dpt,14,488,0,0,7000,0,2,D,35
2,dpt,7,689,0,0,7000,0,2,D,22
3,dpt,14,908,0,0,7000,0,2,D,35
4,dpt,15,1122,0,0,7000,0,2,D,37
5,dpt,0,464,0,0,7000,0,2,D,1
6,dpt,16,516,0,0,7000,0,2,D,38
7,dpt,9,617,0,0,7000,0,2,D,27
8,dpt,7,759,0,0,7000,0,2,D,22
9,dpt,14,941,0,0,7000,0,2,D,36
10,dpt,7,1196,0,0,7000,0,2,D,22
11,dpt,20,505,0,0,7000,0,2,D,44
12,dpt,4,892,0,0,7000,0,2,D,16
13,dpt,22,1093,0,0,7000,0,2,D,47
14,dpt,32,1260,0,0,7000,0,2,D,60
15,dpt,0,355,0,0,7000,0,2,G,0
16,dpt,33,411,0,0,7000,0,2,G,61
17,dpt,9,493,0,0,7000,0,2,G,27
18,dpt,5,693,0,0,7000,0,2,G,18
19,dpt,0,831,0,0,7000,0,2,G,0
20,dpt,5,979,0,0,7000,0,2,G,18
21,dpt,13,497,0,0,7000,0,2,G,34
22,dpt,4,650,0,0,7000,0,2,G,16
23,dpt,34,736,0,0,7000,0,2,G,62
24,dpt,17,908,0,0,7000,0,2,G,39
25,dpt,34,1077,0,0,7000,0,2,G,62
26,dpt,0,450,0,0,7000,0,2,G,0
27,dpt,10,715,0,0,7000,0,2,G,29
28,dpt,20,1079,0,0,7000,0,2,G,44
29,dpt,5,466,0,0,7000,0,2,G,18
30,dpt,0,594,0,0,7000,0,2,G,0
31,dpt,2,760,0,0,7000,0,2,G,11
32,dpt,0,870,0,0,7000,0,2,G,0
33,dpt,23,954,0,0,7000,0,2,G,48
34,dpt,0,1023,0,0,7000,0,2,G,0
35,dpt,2,1175,0,0,7000,0,2,G,11
36,dpt,23,1287,0,0,7000,0,2,G,48
37,dpt,0,497,0,0,7000,0,2,D2,1
38,dpt,8,770,0,0,7000,0,2,D2,25
39,dpt,3,1107,0,0,7000,0,2,D2,15
40,dpt,8,588,0,0,7000,0,2,D2,25
41,dpt,0,836,0,0,7000,0,2,D2,3
42,dpt,8,1134,0,0,7000,0,2,D2,25
43,dpt,1,454,0,0,7000,0,2,G,8
44,dpt,0,580,0,0,7000,0,2,G,2
45,dpt,11,1010,0,0,7000,0,2,G,30
46,dpt,35,470,0,0,7000,0,2,G,63
47,dpt,0,517,0,0,7000,0,2,G,4
48,dpt,11,915,0,0,7000,0,2,G,31
49,dpt,0,1324,0,0,7000,0,2,G,5
50,dpt,4,528,0,0,7000,0,2,D2,16
51,dpt,22,754,0,0,7000,0,2,D2,47
52,dpt,6,1053,0,0,7000,0,2,D2,20
53,dpt,20,473,0,0,7000,0,2,D2,44
54,dpt,16,643,0,0,7000,0,2,D2,38
55,dpt,14,762,0,0,7000,0,2,D2,35
56,dpt,0,850,0,0,7000,0,2,D2,1
57,dpt,20,991,0,0,7000,0,2,D2,44
58,dpt,0,394,0,0,7000,0,2,D,0
59,dpt,7,488,0,0,7000,0,2,D,22
60,dpt,9,630,0,0,7000,0,2,D,28
61,dpt,21,771,0,0,7000,0,2,D,45
62,dpt,9,939,0,0,7000,0,2,D,27
63,dpt,16,1060,0,0,7000,0,2,D,38
64,dpt,9,1175,0,0,7000,0,2,D,27
65,dpt,7,442,0,0,7000,0,2,D,22
66,dpt,12,585,0,0,7000,0,2,D,32
67,dpt,16,688,0,0,7000,0,2,D,38
68,dpt,12,783,0,0,7000,0,2,D,32
69,dpt,7,958,0,0,7000,0,2,D,22
70,dpt,0,377,0,0,7000,0,2,D,0
71,dpt,15,517,0,0,7000,0,2,D,37
72,dpt,0,670,0,0,7000,0,2,D,0
73,dpt,15,790,0,0,7000,0,2,D,37
74,dpt,22,919,0,0,7000,0,2,D,47
75,dpt,15,1026,0,0,7000,0,2,D,37
76,dpt,22,1129,0,0,7000,0,2,D,47
77,dpt,7,1231,0,0,7000,0,2,D,23
78,dpt,0,1330,0,0,7000,0,2,D,4
